"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"	"qlty"
"3"	"IR1"	"IR1-1"	29	2	55	56	122	38	158	429	0.148936170212766	"F"	0.000936221265511737	0.00229296579316118	0.00323920564357945	0.0109846830134236	0.00993506077326357	0.00879352342975578	0.93744812006958	0.832317835404277	0.737061174918351	78.9568912485766	213.610161098413	1000.18883678902	0
"17"	"thrC"	"thrC-5"	4995	2	48	39	86	38	52	263	0.981337480559876	"F"	-0.0234309603571872	-0.0210831668927178	-0.0189564905257507	0.0121969696864002	0.0117241564754607	0.0106702094375541	0.150482701614661	0.169974633693426	0.173713358477907	30.8345636905716	20.3183971718314	92.9647267266332	0
"23"	"IR4"	"IR4-5"	5217	4	61	78	163	77	202	581	0.933649289099526	"F"	0.0106352533773109	0.0105292267200948	0.0103913030121059	0.0028562029295417	0.00273550038028964	0.00263352307565917	0.0337241215565415	0.0309589406015857	0.0290252355989283	12.8270384512626	8.92681988646293	7.52045034798758	0
"29"	"yaaX"	"yaaX-3"	5361	4	68	66	153	64	193	544	0.435810810810811	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"31"	"yaaX"	"yaaX-4"	5412	2	13	9	7	9	14	52	0.608108108108108	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"33"	"yaaX"	"yaaX-5"	5471	1	45	35	70	16	36	202	0.807432432432432	"F"	-0.0434580659163799	-0.043204314384314	-0.0417891295864838	0.00917071422896813	0.00959395485442603	0.0100053670282475	0.0178190805635448	0.0204502565097495	0.0249978396074884	3.90899371366119	539.385643664921	129.314207525907	0
"37"	"yaaA"	"yaaA-1"	5745	6	76	82	166	61	131	516	0.0824742268041237	"C"	-0.0132058572399408	-0.0128750956109952	-0.0124572688536471	0.00491135941808165	0.00504851137537026	0.00516143659815413	0.0744874804335238	0.0839227018810134	0.0947168086733546	46.8447510371887	42.3242987029669	157.352577137002	0
"39"	"yaaA"	"yaaA-2"	5838	7	160	261	370	172	422	1385	0.202319587628866	"C"	-0.00200849733291463	-0.00241684303646051	-0.0028584453330296	0.00460498733872356	0.00485602629742725	0.00509386240613716	0.692203162262657	0.652889777408932	0.613878551749676	352.687645910628	688.862901993446	2063.87606886561	0
"41"	"yaaA"	"yaaA-3"	6010	6	312	424	666	294	944	2640	0.423969072164948	"C"	0.00285707080774739	0.00339322694112124	0.00388128097475816	0.00476680471265825	0.00464333731942102	0.00449210942854017	0.591171583253787	0.517818426155797	0.451128305813589	53.1159595266434	70.7878832831891	95.0335239269335	0
"43"	"yaaA"	"yaaA-4"	6195	2	47	58	62	11	109	287	0.662371134020619	"C"	-0.0237673150193774	-0.0120213557320962	-0.00737863905423074	0.0307227841853354	0.019815382219479	0.0123727685247767	0.495531540285691	0.58690301104378	0.592936393240645	398.462923974116	201.970307042446	835.940059202826	0
